shift [ppm],Intensity [au]
16.09263,-44.169
16.09233,-44.094
16.09202,-43.679
16.09171,-43.603
16.09141,-44.242
16.0911,-45.202
16.0908,-45.215
16.09049,-45.713
16.09019,-47.049
16.08988,-47.642
16.08958,-46.932
16.08927,-45.975
16.08897,-44.601
16.08866,-43.34
16.08835,-43.647
16.08805,-44.048
16.08774,-44.323
16.08744,-43.888
16.08713,-43.748
16.08683,-44.087
16.08652,-45.355
16.08622,-46.566
16.08591,-45.399
16.08561,-44.652
16.0853,-45.013
16.08499,-44
16.08469,-43.507
16.08438,-43.646
16.08408,-43.584
16.08377,-42.61
16.08347,-41.103
16.08316,-41.042
16.08286,-41.954
16.08255,-41.985
16.08225,-41.684
16.08194,-41.936
16.08163,-43.245
16.08133,-44.543
16.08102,-43.722
16.08072,-42.364
16.08041,-42.246
16.08011,-42.392
16.0798,-42.599
16.0795,-43.156
16.07919,-43.061
16.07889,-42.074
16.07858,-41.763
16.07827,-41.267
16.07797,-39.834
16.07766,-40.034
16.07736,-40.791
16.07705,-40.158
16.07675,-38.701
16.07644,-38.868
16.07614,-38.469
16.07583,-38.974
16.07553,-38.467
16.07522,-37.031
16.07491,-37.755
16.07461,-38.375
16.0743,-37.378
16.074,-36.991
16.07369,-38.195
16.07339,-38.607
16.07308,-39.334
16.07278,-39.847
16.07247,-39.582
16.07217,-39.97
16.07186,-38.881
16.07155,-36.848
16.07125,-35.925
16.07094,-35.639
16.07064,-34.85
16.07033,-34.049
16.07003,-33.423
16.06972,-32.22
16.06942,-31.955
16.06911,-34.186
16.06881,-36.031
16.0685,-36.514
16.06819,-36.395
16.06789,-36.942
16.06758,-37.752
16.06728,-37.969
16.06697,-37.634
16.06667,-36.871
16.06636,-35.289
16.06606,-34.125
16.06575,-35.518
16.06545,-36.898
16.06514,-35.97
16.06483,-35.241
16.06453,-34.547
16.06422,-32.93
16.06392,-32.307
16.06361,-32.285
16.06331,-33.031
16.063,-33.361
16.0627,-32.997
16.06239,-33.402
16.06209,-33.639
16.06178,-33.837
16.06147,-34.149
16.06117,-34.131
16.06086,-33.316
16.06056,-33.632
16.06025,-34.227
16.05995,-33.335
16.05964,-32.98
16.05934,-32.399
16.05903,-31.507
16.05873,-32.221
16.05842,-32.717
16.05811,-31.925
16.05781,-31.163
16.0575,-32.173
16.0572,-33.171
16.05689,-32.209
16.05659,-31.947
16.05628,-32.534
16.05598,-33.276
16.05567,-33.517
16.05537,-34.469
16.05506,-36.136
16.05475,-37.223
16.05445,-36.79
16.05414,-35.254
16.05384,-33.225
16.05353,-33.011
16.05323,-32.627
16.05292,-31.843
16.05262,-31.954
16.05231,-31.812
16.05201,-31.171
16.0517,-30.128
16.05139,-28.881
16.05109,-28.585
16.05078,-28.18
16.05048,-28.546
16.05017,-29.705
16.04987,-28.992
16.04956,-28.733
16.04926,-30.042
16.04895,-30.28
16.04865,-29.668
16.04834,-29.694
16.04803,-29.595
16.04773,-30.942
16.04742,-32.272
16.04712,-33.022
16.04681,-33.258
16.04651,-32.14
16.0462,-30.511
16.0459,-29.223
16.04559,-28.661
16.04529,-29.557
16.04498,-31.861
16.04467,-33.03
16.04437,-31.725
16.04406,-31.354
16.04376,-32.204
16.04345,-32.154
16.04315,-30.861
16.04284,-29.392
16.04254,-27.66
16.04223,-25.624
16.04193,-24.549
16.04162,-24.237
16.04131,-24.928
16.04101,-26.192
16.0407,-26.235
16.0404,-26.318
16.04009,-27.993
16.03979,-30.71
16.03948,-33.652
16.03918,-32.691
16.03887,-30.213
16.03856,-28.131
16.03826,-28.1
16.03795,-29.414
16.03765,-28.393
16.03734,-27.492
16.03704,-26.464
16.03673,-26.627
16.03643,-27.397
16.03612,-27.787
16.03582,-27.507
16.03551,-27.385
16.0352,-25.93
16.0349,-25.434
16.03459,-26.473
16.03429,-26.653
16.03398,-25.855
16.03368,-25.793
16.03337,-26.429
16.03307,-27.278
16.03276,-27.141
16.03246,-26.552
16.03215,-27.461
16.03184,-27.984
16.03154,-28.927
16.03123,-28.438
16.03093,-27.062
16.03062,-27.916
16.03032,-26.954
16.03001,-24.291
16.02971,-23.828
16.0294,-25.392
16.0291,-26.674
16.02879,-26.321
16.02848,-25.926
16.02818,-25.751
16.02787,-24.739
16.02757,-24.886
16.02726,-24.946
16.02696,-24.224
16.02665,-24.201
16.02635,-25.732
16.02604,-26.123
16.02574,-26.633
16.02543,-27.53
16.02512,-26.647
16.02482,-25.131
16.02451,-23.629
16.02421,-23.434
16.0239,-24.483
16.0236,-25.645
16.02329,-25.947
16.02299,-25.676
16.02268,-24.482
16.02238,-23.137
16.02207,-23.176
16.02176,-21.619
16.02146,-20.349
16.02115,-19.34
16.02085,-17.844
16.02054,-19.016
16.02024,-20.703
16.01993,-20.358
16.01963,-19.587
16.01932,-20.003
16.01902,-21.069
16.01871,-21.168
16.0184,-22.185
16.0181,-22.332
16.01779,-20.606
16.01749,-20.63
16.01718,-21.408
16.01688,-20.8
16.01657,-20.384
16.01627,-19.844
16.01596,-18.467
16.01566,-16.749
16.01535,-15.505
16.01504,-15.685
16.01474,-16.923
16.01443,-17.373
16.01413,-17.898
16.01382,-17.745
16.01352,-17.568
16.01321,-18.56
16.01291,-20.702
16.0126,-20.62
16.0123,-21.007
16.01199,-22.255
16.01168,-22.015
16.01138,-21.473
16.01107,-21.419
16.01077,-21.151
16.01046,-19.694
16.01016,-18.331
16.00985,-18.344
16.00955,-19.6
16.00924,-17.667
16.00894,-15.649
16.00863,-16.351
16.00832,-16.963
16.00802,-17.317
16.00771,-16.711
16.00741,-16.577
16.0071,-17.435
16.0068,-17.642
16.00649,-17.358
16.00619,-17.236
16.00588,-17.363
16.00558,-16.615
16.00527,-15.477
16.00496,-16.204
16.00466,-16.786
16.00435,-18.182
16.00405,-19.753
16.00374,-19.585
16.00344,-20.004
16.00313,-19.9
16.00283,-19.137
16.00252,-17.892
16.00222,-18.275
16.00191,-18.52
16.0016,-18.119
16.0013,-17.743
16.00099,-16.163
16.00069,-14.84
16.00038,-14.687
16.00008,-13.409
15.99977,-14.858
15.99947,-16.3
15.99916,-15.645
15.99886,-16.228
15.99855,-16.69
15.99824,-17.472
15.99794,-19.091
15.99763,-19.955
15.99733,-20.135
15.99702,-19.637
15.99672,-18.72
15.99641,-17.551
15.99611,-17.579
15.9958,-17.685
15.9955,-16.803
15.99519,-14.849
15.99488,-14.478
15.99458,-16.108
15.99427,-16.862
15.99397,-16.407
15.99366,-15.6
15.99336,-15.174
15.99305,-15.343
15.99275,-15.979
15.99244,-15.902
15.99214,-14.939
15.99183,-14.6
15.99152,-13.977
15.99122,-14.104
15.99091,-15.906
15.99061,-15.841
15.9903,-14.26
15.99,-13.606
15.98969,-12.523
15.98939,-12.064
15.98908,-12.858
15.98878,-15.146
15.98847,-15.541
15.98816,-14.43
15.98786,-13.334
15.98755,-13.512
15.98725,-14.945
15.98694,-15.801
15.98664,-15.91
15.98633,-15.423
15.98603,-15.604
15.98572,-16.007
15.98542,-15.656
15.98511,-16.088
15.9848,-14.241
15.9845,-11.984
15.98419,-11.238
15.98389,-11.724
15.98358,-12.393
15.98328,-12.08
15.98297,-12.595
15.98267,-12.472
15.98236,-11.774
15.98206,-12.515
15.98175,-12.23
15.98144,-11.657
15.98114,-12.765
15.98083,-14.64
15.98053,-15.054
15.98022,-14.441
15.97992,-14.892
15.97961,-14.103
15.97931,-12.885
15.979,-13.141
15.9787,-13.726
15.97839,-15.042
15.97808,-16.106
15.97778,-16.24
15.97747,-14.237
15.97717,-11.897
15.97686,-13.057
15.97656,-14.916
15.97625,-14.9
15.97595,-15.398
15.97564,-14.69
15.97534,-14.479
15.97503,-15.195
15.97472,-16.659
15.97442,-16.717
15.97411,-15.142
15.97381,-15.02
15.9735,-14.941
15.9732,-14.864
15.97289,-13.53
15.97259,-11.425
15.97228,-11.391
15.97197,-12.865
15.97167,-14.031
15.97136,-14.054
15.97106,-12.968
15.97075,-11.725
15.97045,-11.683
15.97014,-11.708
15.96984,-11.589
15.96953,-12.388
15.96923,-13.805
15.96892,-14.523
15.96861,-13.511
15.96831,-12.075
15.968,-10.816
15.9677,-10.178
15.96739,-10.182
15.96709,-9.343
15.96678,-7.957
15.96648,-7.735
15.96617,-8.284
15.96587,-8.993
15.96556,-9.998
15.96525,-11.262
15.96495,-11.012
15.96464,-10.615
15.96434,-12.135
15.96403,-13.466
15.96373,-14.112
15.96342,-14.344
15.96312,-13.87
15.96281,-13.178
15.96251,-12.475
15.9622,-10.131
15.96189,-7.769
15.96159,-7.275
15.96128,-8.179
15.96098,-9.167
15.96067,-9.448
15.96037,-8.644
15.96006,-8.926
15.95976,-10.046
15.95945,-11.125
15.95915,-11.509
15.95884,-11.916
15.95853,-13.319
15.95823,-12.859
15.95792,-10.77
15.95762,-9.426
15.95731,-9.601
15.95701,-9.716
15.9567,-9.996
15.9564,-10.578
15.95609,-10.052
15.95579,-10.374
15.95548,-11.59
15.95517,-11.043
15.95487,-10.237
15.95456,-11.632
15.95426,-12.783
15.95395,-11.409
15.95365,-10.16
15.95334,-8.954
15.95304,-8.226
15.95273,-9.294
15.95243,-11.245
15.95212,-11.395
15.95181,-12.19
15.95151,-12.538
15.9512,-12.047
15.9509,-12.459
15.95059,-14.416
15.95029,-13.725
15.94998,-11.36
15.94968,-10.532
15.94937,-9.606
15.94907,-9.265
15.94876,-9.181
15.94845,-10.025
15.94815,-9.256
15.94784,-9.086
15.94754,-8.375
15.94723,-8.07
15.94693,-8.34
15.94662,-7.422
15.94632,-7.757
15.94601,-9.74
15.94571,-10.205
15.9454,-10.288
15.94509,-9.292
15.94479,-8.291
15.94448,-8.237
15.94418,-8.016
15.94387,-8.153
15.94357,-8.234
15.94326,-9.631
15.94296,-10.288
15.94265,-10.649
15.94235,-10.612
15.94204,-9.831
15.94173,-9.16
15.94143,-8.901
15.94112,-8.769
15.94082,-8.795
15.94051,-7.069
15.94021,-7.124
15.9399,-9.098
15.9396,-9.955
15.93929,-7.751
15.93899,-4.917
15.93868,-4.321
15.93837,-4.763
15.93807,-5.165
15.93776,-6.074
15.93746,-6.579
15.93715,-7.573
15.93685,-7.372
15.93654,-7.147
15.93624,-7.418
15.93593,-5.838
15.93563,-4.213
15.93532,-4.752
15.93501,-5.237
15.93471,-5.685
15.9344,-7.683
